time,vehicle_id,speed,edge,x,y
1.0,0,13.89,B2B1,198.4,387.7
2.0,0,14.37114173658807,B2B1,198.4,373.3288582634119
3.0,0,13.986029392673263,B2B1,198.4,359.3428288707387
3.0,1,13.032987,A2B2,8.3,398.4
4.0,0,14.074260630464742,B2B1,198.4,345.2685682402739
4.0,1,12.822187980425813,A2B2,21.122187980425814,398.4
5.0,0,14.712977040635051,B2B1,198.4,330.55559119963885
5.0,1,11.774189155360952,A2B2,32.896377135786764,398.4
5.0,2,13.89,C0B0,391.7,1.6
6.0,0,13.673374224017934,B2B1,198.4,316.88221697562096
6.0,1,12.220018514872796,A2B2,45.11639565065957,398.4
6.0,2,13.161998513143272,C0B0,378.53800148685673,1.6
7.0,0,13.522045081650468,B2B1,198.4,303.36017189397046
7.0,1,12.527417018891581,A2B2,57.64381266955116,398.4
7.0,2,12.938819472061232,C0B0,365.5991820147955,1.6
7.0,3,13.89,C1C2,401.6,212.29999999999998
8.0,0,13.525568745920063,B2B1,198.4,289.8346031480504
8.0,1,11.946567432673916,A2B2,69.59038010222508,398.4
8.0,2,14.024630452844077,C0B0,351.5745515619514,1.6
8.0,3,14.420126213635571,C1C2,401.6,226.72012621363555
9.0,0,14.247332374524886,B2B1,198.4,275.5872707735255
9.0,1,12.988332349782146,A2B2,82.57871245200722,398.4
9.0,2,13.830968294211425,C0B0,337.74358326774,1.6
9.0,3,14.645553853841752,C1C2,401.6,241.3656800674773
9.0,4,13.89,B1A1,187.70000000000002,201.6
10.0,0,14.279348681430893,B2B1,198.4,261.3079220920946
10.0,1,11.741510876755498,A2B2,94.32022332876272,398.4
10.0,2,13.72399112525186,C0B0,324.01959214248814,1.6
10.0,3,13.770433557163246,C1C2,401.6,255.13611362464056
10.0,4,13.340375819035254,B1A1,174.35962418096474,201.6
11.0,0,13.759156672057324,B2B1,198.4,247.54876542003728
11.0,1,12.893690501361423,A2B2,107.21391383012416,398.4
11.0,2,13.85276795165869,C0B0,310.16682419082946,1.6
11.0,3,14.24850432506229,C1C2,401.6,269.38461794970283
11.0,4,13.349768706552133,B1A1,161.00985547441263,201.6
11.0,5,11.54259,A2A1,-1.6,391.7
12.0,0,13.43590158348121,B2B1,198.4,234.11286383655607
12.0,1,12.323817144193024,A2B2,119.53773097431718,398.4
12.0,2,13.476370878343232,C0B0,296.69045331248617,1.6
12.0,3,13.87958119783017,C1C2,401.6,283.264199147533
12.0,4,13.440375177749813,B1A1,147.5694802966628,201.6
12.0,5,10.731941340313442,A2A1,-1.6,380.96805865968656
13.0,0,14.494339321862535,B2B1,198.4,219.61852451469355
13.0,1,12.152030211266398,A2B2,131.68976118558356,398.4
13.0,2,13.396669335721754,C0B0,283.2937839767644,1.6
13.0,3,14.60300757844399,C1C2,401.6,297.86720672597704
13.0,4,13.480846722099379,B1A1,134.0886335745634,201.6
13.0,5,10.91447462058548,A2A1,-1.6,370.0535840391011
13.0,6,13.89,A0A1,1.6,8.3
14.0,0,14.096090992965365,:B1_1,198.4,205.52243352172817
14.0,1,12.608924067018823,A2B2,144.29868525260238,398.4
14.0,2,13.46942799129779,C0B0,269.82435598546664,1.6
14.0,3,14.904971634586595,C1C2,401.6,312.77217836056366
14.0,4,13.688909160905897,B1A1,120.39972441365752,201.6
14.0,5,10.667100261393152,A2A1,-1.6,359.38648377770795
14.0,6,13.591520232823202,A0A1,1.6,21.891520232823204
15.0,0,14.204948582506368,B1B0,198.4,191.31748493922183
15.0,1,12.43378551092305,A2B2,156.73247076352544,398.4
15.0,2,13.28838414371735,C0B0,256.5359718417493,1.6
15.0,3,13.947799937952563,C1C2,401.6,326.7199782985162
15.0,4,13.703386199475647,B1A1,106.69633821418188,201.6
15.0,5,10.83546738071289,A2A1,-1.6,348.551016396995
15.0,6,14.290533634018608,A0A1,1.6,36.18205386684182
15.0,7,12.30654,B2B1,198.4,387.7
16.0,0,14.701633364922927,B1B0,198.4,176.6158515742989
16.0,1,11.870587754527376,A2B2,168.60305851805282,398.4
